lat,lon,type,title,link
,,agence,Tanger Immobilier : Agence immobilière à Tanger et Assilah (Maroc) – Real estate agency in Tangier and Asilah (Morocco),https://www.google.com/maps/place/Tanger+Immobilier+:+Agence+immobili%C3%A8re+%C3%A0+Tanger+et+Assilah+%28Maroc%29+%E2%80%93+Real+estate+agency+in+Tangier+and+Asilah+%28Morocco%29/data=!4m7!3m6!1s0xd0c7f116a4102e5:0xd74089d39b564831!8m2!3d35.7852522!4d-5.8107871!16s%2Fg%2F11rgbv1_bf!19sChIJ5QJBahF_DA0RMUhWm9OJQNc?authuser=0&hl=fr&rclk=1
,,agence,Agence Immo Maroc,https://www.google.com/maps/place/Agence+Immo+Maroc/data=!4m7!3m6!1s0xd0c7feda489c9a5:0xd7c2474868107f20!8m2!3d35.7878132!4d-5.812182!16s%2Fg%2F11rh08_8jt!19sChIJpcmJpO1_DA0RIH8QaEhHwtc?authuser=0&hl=fr&rclk=1
,,agence,Must Immo,https://www.google.com/maps/place/Must+Immo/data=!4m7!3m6!1s0xd0c7f6f39784941:0x822244dd860233f!8m2!3d35.7858081!4d-5.8110961!16s%2Fg%2F11f8blwprj!19sChIJQUl4OW9_DA0RPyNg2E0kIgg?authuser=0&hl=fr&rclk=1
,,agence,TR Immobilier agence,https://www.google.com/maps/place/TR+Immobilier+agence/data=!4m7!3m6!1s0xd0b814b78bd9e47:0xf85cc9023c9e3784!8m2!3d35.7767843!4d-5.8212402!16s%2Fg%2F11g22xxkz4!19sChIJR569eEuBCw0RhDeePALJXPg?authuser=0&hl=fr&rclk=1
,,agence,Tanger Private Estate,https://www.google.com/maps/place/Tanger+Private+Estate/data=!4m7!3m6!1s0xd0c7f568fa18c83:0x4d428dd0edc0d194!8m2!3d35.7754128!4d-5.812176!16s%2Fg%2F11f26zysdq!19sChIJg4yhj1Z_DA0RlNHA7dCNQk0?authuser=0&hl=fr&rclk=1
,,agence,Cap Alliance - Agence immobilière d'entreprise à Tanger,https://www.google.com/maps/place/Cap+Alliance+-+Agence+immobili%C3%A8re+d%27entreprise+%C3%A0+Tanger/data=!4m7!3m6!1s0xd0c791320a679d5:0xeaf1f4378921b5e4!8m2!3d35.7796678!4d-5.8191437!16s%2Fg%2F11tn9y_hgp!19sChIJ1XmmIBN5DA0R5LUhiTf08eo?authuser=0&hl=fr&rclk=1
,,agence,Acces immo,https://www.google.com/maps/place/Acces+immo/data=!4m7!3m6!1s0xd0b80825e063b31:0xd011b6aee00da0fa!8m2!3d35.775194!4d-5.779709!16s%2Fg%2F1hhw04y_h!19sChIJMTsGXoKACw0R-qAN4K62EdA?authuser=0&hl=fr&rclk=1
,,agence,Agence Immobiliere continentale,https://www.google.com/maps/place/Agence+Immobiliere+continentale/data=!4m7!3m6!1s0xd0c7f50d331695b:0x40827da82eab7c08!8m2!3d35.780795!4d-5.805941!16s%2Fg%2F1pp2twfls!19sChIJW2kx01B_DA0RCHyrLqh9gkA?authuser=0&hl=fr&rclk=1
,,agence,First Immo,https://www.google.com/maps/place/First+Immo/data=!4m7!3m6!1s0xd0c7f57bb00d985:0x2e7b7513893eb87b!8m2!3d35.7771892!4d-5.8057413!16s%2Fg%2F11fy2vrblx!19sChIJhdkAu1d_DA0Re7g-iRN1ey4?authuser=0&hl=fr&rclk=1
,,agence,NREA Invest,https://www.google.com/maps/place/NREA+Invest/data=!4m7!3m6!1s0xd0b80a982f0116d:0xee501604b85c6e34!8m2!3d35.7753775!4d-5.8130251!16s%2Fg%2F1ts_7v_3!19sChIJbRHwgqmACw0RNG5cuAQWUO4?authuser=0&hl=fr&rclk=1
,,agence,Agence Immobilière Tanger Med,https://www.google.com/maps/place/Agence+Immobili%C3%A8re+Tanger+Med/data=!4m7!3m6!1s0xd0b87510487d9bb:0x7742332a3e3150f4!8m2!3d35.7647573!4d-5.857628!16s%2Fg%2F11fhtyvlbn!19sChIJu9mHBFGHCw0R9FAxPiozQnc?authuser=0&hl=fr&rclk=1
