lat,lon,type,title,link
,,spa,VIP HOME,https://www.google.com/maps/place/VIP+HOME/data=!4m7!3m6!1s0xd0b87bd64bbe1e1:0x138703be64ba9133!8m2!3d35.778193!4d-5.8043571!16s%2Fg%2F11rty56zwj!19sChIJ4eG7ZL2HCw0RM5G6ZL4DhxM?authuser=0&hl=fr&rclk=1
,,spa,Jasmine Spa,https://www.google.com/maps/place/Jasmine+Spa/data=!4m7!3m6!1s0xd0c791955331cc3:0x7fac19afc41458f!8m2!3d35.7815637!4d-5.8175062!16s%2Fg%2F11q861xyp8!19sChIJwxwzVRl5DA0Rj0VB_JrB-gc?authuser=0&hl=fr&rclk=1
,,spa,Le Bristol SPA,https://www.google.com/maps/place/Le+Bristol+SPA/data=!4m7!3m6!1s0xd0c79e5b719b023:0x6bf51b53aba79a57!8m2!3d35.7835241!4d-5.8236032!16s%2Fg%2F11kjhmx9qh!19sChIJI7AZt-V5DA0RV5qnq1Mb9Ws?authuser=0&hl=fr&rclk=1
,,spa,ILY LUXURY SALON ET SPA,https://www.google.com/maps/place/ILY+LUXURY+SALON+ET+SPA/data=!4m7!3m6!1s0xd0c7f6ab72223e5:0xba50815b1f3a5e07!8m2!3d35.7764327!4d-5.8046853!16s%2Fg%2F11sdsphjx8!19sChIJ5SMit2p_DA0RB146H1uBULo?authuser=0&hl=fr&rclk=1
,,spa,Armmani by Spa,https://www.google.com/maps/place/Armmani+by+Spa/data=!4m7!3m6!1s0xd0c790447fc8fd1:0x279a2a66a0708c4d!8m2!3d35.7799918!4d-5.8197833!16s%2Fg%2F11t40blkzm!19sChIJ0Y_8RwR5DA0RTYxwoGYqmic?authuser=0&hl=fr&rclk=1
,,spa,Meday Spa,https://www.google.com/maps/place/Meday+Spa/data=!4m7!3m6!1s0xd0b8190bdffb283:0xbacc43e7d31748e7!8m2!3d35.7688857!4d-5.809993!16s%2Fg%2F11fr3bc2bn!19sChIJg7L_vZCBCw0R50gX0-dDzLo?authuser=0&hl=fr&rclk=1
,,spa,Kenzi spa & Massage Homme Tanger,https://www.google.com/maps/place/Kenzi+spa+%26+Massage+Homme+Tanger/data=!4m7!3m6!1s0xd0b817f9913d487:0x8f6706ab03abdef8!8m2!3d35.7745699!4d-5.8033117!16s%2Fg%2F11srjnvrc4!19sChIJh9QTmX-BCw0R-N6rA6sGZ48?authuser=0&hl=fr&rclk=1
,,spa,By Sophia Spa,https://www.google.com/maps/place/By+Sophia+Spa/data=!4m7!3m6!1s0xd0c7f12a5de1d41:0xb4d4198750f4328f!8m2!3d35.7789814!4d-5.8060057!16s%2Fg%2F11s57y1tk_!19sChIJQR3epRJ_DA0RjzL0UIcZ1LQ?authuser=0&hl=fr&rclk=1
,,spa,Ryad Spa,https://www.google.com/maps/place/Ryad+Spa/data=!4m7!3m6!1s0xd0b8157ca7a3fad:0x5bddce74d86490cb!8m2!3d35.7746172!4d-5.8020952!16s%2Fg%2F11s6652mly!19sChIJrT96yleBCw0Ry5Bk2HTO3Vs?authuser=0&hl=fr&rclk=1
,,spa,VERLOTUS spa tanger,https://www.google.com/maps/place/VERLOTUS+spa+tanger/data=!4m7!3m6!1s0xd0c7f276a035f93:0x2b4091750dfcdec6!8m2!3d35.7758206!4d-5.8090646!16s%2Fg%2F11j097h7sy!19sChIJk18Daid_DA0Rxt78DXWRQCs?authuser=0&hl=fr&rclk=1
,,spa,Palais Zahia Hotel & Spa,https://www.google.com/maps/place/Palais+Zahia+Hotel+%26+Spa/data=!4m10!3m9!1s0xd0c7f520b4f9853:0x62074d4ec971a537!5m2!4m1!1i2!8m2!3d35.7856986!4d-5.8102749!16s%2Fg%2F11f4wvfvt2!19sChIJU5hPC1J_DA0RN6VxyU5NB2I?authuser=0&hl=fr&rclk=1
,,spa,BE ZEN SPA,https://www.google.com/maps/place/BE+ZEN+SPA/data=!4m7!3m6!1s0xd0b80a6d801e139:0xd89155f291731128!8m2!3d35.7722279!4d-5.7985314!16s%2Fg%2F11bccgr0jn!19sChIJOeEB2KaACw0RKBFzkfJVkdg?authuser=0&hl=fr&rclk=1
,,spa,Smart Body Spa,https://www.google.com/maps/place/Smart+Body+Spa/data=!4m7!3m6!1s0xd0b81d81c7d16bd:0x510b9dec1365e360!8m2!3d35.7784195!4d-5.8049056!16s%2Fg%2F11nf94h7_k!19sChIJvRZ9HNiBCw0RYONlE-ydC1E?authuser=0&hl=fr&rclk=1
